county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Elko County,NV,1.2,1.3,24.7,66.5,71.2,18065,21966,33875,8.6,53702,48818
Elmore County,ID,3.1,3.1,17.8,72.4,59.8,10606,12577,23028,9.8,28666,27038
Emery County,UT,0.5,0.4,6.5,90.6,76.9,3665,4636,23705,2.5,9825,10976
Esmeralda County,NV,0.6,3.4,19.2,66.3,58.2,491,860,25849,7.2,729,783
Eureka County,NV,1,1.2,13.2,80.3,73.8,774,1087,34249,1.9,1855,1987
Fairbanks North Star Borough,AK,3.4,5.3,8.2,69.2,58.9,36188,44305,37025,5.4,95655,97581
Fallon County,MT,0.7,0.2,1.6,94.8,72,1334,1743,37024,2.4,3049,2890
Fergus County,MT,0.5,0.3,2.2,93.7,72.8,4912,5905,30529,1.1,11446,11586
Ferry County,WA,1.1,0.8,4.8,73,72,3060,4529,25857,1.5,7178,7551
Flathead County,MT,0.8,0.3,3,92.6,74.1,38773,49531,31694,2.5,104357,90928
Franklin County,ID,0.2,0.3,6.8,90.8,81.3,4397,4946,24185,2.5,14194,12786
Franklin County,WA,2.4,2.8,53.6,39.9,68.5,26723,29240,24380,22.7,96749,78163
Fremont County,CO,1,4,13.5,78.8,75,17136,20088,22692,2.7,48939,46824
Fremont County,ID,0.4,0.8,12.5,84.9,81.2,4347,9186,23577,6,13388,13242
Fremont County,WY,0.5,0.6,7,69.5,70.5,14907,18032,28324,1.5,39234,40123
Fresno County,CA,11.1,5.8,53.8,28.6,53.3,307906,336473,24422,21.2,1008654,930450
Gallatin County,MT,1.6,0.5,4,91.3,61.2,43777,52554,36924,3.3,118960,89513
Garfield County,CO,0.9,1.3,29.3,67.4,66.9,21498,24363,33393,14.8,61685,56389
Garfield County,MT,0.1,0.4,0.7,97.5,73.1,438,864,28541,0,1173,1206
Garfield County,UT,1.1,0.6,6.5,88.2,79.5,1760,3921,25247,3,5083,5172
Garfield County,WA,3.2,0.1,5.6,88.1,71.5,984,1250,26742,2.4,2286,2266
Gem County,ID,1,0.3,8.6,87.3,74.8,6683,7507,22661,3.2,19123,16719
Gila County,AZ,0.9,0.8,18.9,61.6,75.6,21945,33892,24251,3.5,53272,53597
Gilliam County,OR,0.9,0.3,7.4,87.4,67.3,842,1186,26482,2.9,1995,1871
Gilpin County,CO,1.5,1.3,7.1,87.6,79.6,2802,3765,49641,4.6,5808,5441
Glacier County,MT,0.4,0.3,3.6,30.2,58.8,4163,5395,18043,1.2,13778,13399
Glenn County,CA,3.1,1.3,42.5,50.5,59.4,10085,11098,22668,18.2,28917,28122
Golden Valley County,MT,0.6,0.9,4.9,88.9,76.9,351,486,30790,2.1,823,884
Gooding County,ID,0.8,0.6,29.2,67.6,70.5,5469,6290,23607,12.9,15598,15464
